,dt,o,h,l,c,v,e_dt,calculate_change_1,calculate_stdv_1_5,calculate_annualized_volatility_1,calculate_avg_volatility_1_5,dt,o,h,l,c,v,e_dt,calculate_change_2,calculate_stdv_2_10,calculate_annualized_volatility_2,calculate_avg_volatility_2_10
84,2024-01-17 09:15:00,1019.25,1039.0,1014.25,1021.8,6816,2024-01-17 10:14:00,0.009637207049286799,0.005435828064076848,0.0862910953635181,0.14045323748312805,2024-01-17 09:15:00,1019.25,1039.0,1014.25,1021.8,6816,2024-01-17 10:14:00,0.009637207049286799,0.010809316038560403,0.17159257248439616,0.16742043924387484
85,2024-01-17 10:15:00,1020.35,1022.55,1008.9,1012.45,4232,2024-01-17 11:14:00,-0.009192641851419199,0.006479524956026885,0.1028592698849032,0.12014950676917713,2024-01-17 10:15:00,1020.35,1022.55,1008.9,1012.45,4232,2024-01-17 11:14:00,-0.009192641851419199,0.010191835112499867,0.16179036666630392,0.16915933822245244
86,2024-01-17 11:15:00,1012.45,1017.5,1007.05,1017.5,5235,2024-01-17 12:14:00,0.004975502271471754,0.006817646096928037,0.10822677659593045,0.10146164932307664,2024-01-17 11:15:00,1012.45,1017.5,1007.05,1017.5,5235,2024-01-17 12:14:00,0.004975502271471754,0.010208827040180174,0.16206010515593003,0.17071203138732238
87,2024-01-17 12:15:00,1017.8,1024.75,1013.85,1017.0,2222,2024-01-17 13:14:00,-0.0004915212681901174,0.006540059439452772,0.10382022501823514,0.10121041439246778,2024-01-17 12:15:00,1017.8,1024.75,1013.85,1017.0,2222,2024-01-17 13:14:00,-0.0004915212681901174,0.007403175282198026,0.11752176425349839,0.16517639532315437
88,2024-01-17 13:15:00,1018.95,1024.65,1017.25,1022.1,2288,2024-01-17 14:14:00,0.0050022172864707245,0.00644477780876033,0.10230767602228574,0.10070100857697453,2024-01-17 13:15:00,1018.95,1024.65,1017.25,1022.1,2288,2024-01-17 14:14:00,0.0050022172864707245,0.007510110584364456,0.11921930954893391,0.15910143446819064
89,2024-01-17 14:15:00,1020.85,1020.85,1010.1,1014.85,3407,2024-01-17 15:14:00,-0.007118516031395078,0.005930957996814295,0.09415103937564263,0.10227299737939943,2024-01-17 14:15:00,1020.85,1020.85,1010.1,1014.85,3407,2024-01-17 15:14:00,-0.007118516031395078,0.0057301613366955596,0.09096349121504342,0.14825852704451808
90,2024-01-17 15:15:00,1014.85,1018.0,1011.2,1018.0,2060,2024-01-17 15:29:00,0.0030990998068324625,0.004567711520309747,0.07251017246054609,0.09620317789452801,2024-01-17 15:15:00,1014.85,1018.0,1011.2,1018.0,2060,2024-01-17 15:29:00,0.0030990998068324625,0.0057021512708757245,0.09051884520484842,0.14033961092620184
91,2024-01-18 09:15:00,1016.8,1022.0,1001.45,1006.05,10651,2024-01-18 10:14:00,-0.011808145896612145,0.00631441967052553,0.10023830473142978,0.09460548352162787,2024-01-18 09:15:00,1016.8,1022.0,1001.45,1006.05,10651,2024-01-18 10:14:00,-0.011808145896612145,0.006630354662569842,0.10525361724790429,0.13440951567102657
92,2024-01-18 10:15:00,1006.15,1015.8,1003.3,1010.8,2860,2024-01-18 11:14:00,0.004710324300183134,0.006920124813672881,0.10985357579103379,0.0958121536761876,2024-01-18 10:15:00,1006.15,1015.8,1003.3,1010.8,2860,2024-01-18 11:14:00,0.004710324300183134,0.0067754328764534424,0.10755666249544096,0.12875712321850014
93,2024-01-18 11:15:00,1010.8,1012.1,1004.6,1010.05,1536,2024-01-18 12:14:00,-0.0007422619535686103,0.0062340766831611594,0.098962899346505,0.09514319834103145,2024-01-18 11:15:00,1010.8,1012.1,1004.6,1010.05,1536,2024-01-18 12:14:00,-0.0007422619535686103,0.0067042965535739005,0.10642740837830379,0.12329041426506034
94,2024-01-18 12:15:00,1010.05,1012.95,1005.1,1007.9,1745,2024-01-18 13:14:00,-0.0021308761996383196,0.005777040393012359,0.0917076731633133,0.09465452509856559,2024-01-18 12:15:00,1010.05,1012.95,1005.1,1007.9,1745,2024-01-18 13:14:00,-0.0021308761996383196,0.005854506915843898,0.09293741608938423,0.11542489862555913
95,2024-01-18 13:15:00,1007.9,1009.75,1005.5,1006.05,836,2024-01-18 14:14:00,-0.0018371861469763013,0.0053329136829688125,0.08465738021105418,0.09708396664866721,2024-01-18 13:15:00,1007.9,1009.75,1005.5,1006.05,836,2024-01-18 14:14:00,-0.0018371861469763013,0.00525701529408444,0.08345253063966308,0.10759111502289505
96,2024-01-18 14:15:00,1006.05,1011.4,1003.0,1005.5,4236,2024-01-18 15:14:00,-0.0005468420011491645,0.0024856879561527597,0.039459073013331764,0.08492812030504761,2024-01-18 14:15:00,1006.05,1011.4,1003.0,1005.5,4236,2024-01-18 15:14:00,-0.0005468420011491645,0.004917845502551195,0.07806837711592755,0.0991919422188948
